pickup_hour,trips,total_revenue,avg_trip_distance
2002-12-31 16,1,37.3,7.77
2002-12-31 22,6,58.2,1.91
2002-12-31 23,4,133.8,7.69
2008-12-31 00,1,49.9,5.19
2008-12-31 22,1,11.4,1.62
2008-12-31 23,8,476.3,14.29
2009-01-01 00,12,375.1,7.78
2009-01-01 02,1,16.3,2.98
2009-01-01 05,1,43.6,9.65
2009-01-01 14,1,22.6,2.05
2009-01-01 22,1,40.8,8.5
2009-01-01 23,2,49.4,5.73
2023-12-31 23,10,144.1,2.6
2024-01-01 00,6596,125174.45,2.94
2024-01-01 01,7355,150484.74,2.83
2024-01-01 02,6220,122564.58,2.75
2024-01-01 03,4936,98870.3,2.89
2024-01-01 04,3188,65215.89,3.38
2024-01-01 05,1522,32921.36,4.15
2024-01-01 06,1532,40309.99,5.32
2024-01-01 07,1378,37475.35,5.95
2024-01-01 08,1204,32791.15,5.92
2024-01-01 09,1430,35620.49,5.39
2024-01-01 10,2263,51172.35,4.89
2024-01-01 11,2974,59555.9,3.99
2024-01-01 12,3753,71009.24,3.66
2024-01-01 13,3743,79107.11,4.35
2024-01-01 14,4310,94643.83,4.2
2024-01-01 15,4650,104253.49,10.45
2024-01-01 16,4261,99518.63,4.63
2024-01-01 17,3813,83601.44,4.24
2024-01-01 18,3702,81502.47,4.34
2024-01-01 19,3253,75265.14,4.75
2024-01-01 20,2805,63285.06,4.78
2024-01-01 21,2462,56666.09,4.95
2024-01-01 22,2187,59495.45,6.15
2024-01-01 23,1476,44608.45,6.94
2024-01-02 00,967,25428.47,5.85
2024-01-02 01,428,11104.44,5.96
2024-01-02 02,244,6711.88,6.57
2024-01-02 03,234,8001.78,7.76
2024-01-02 04,285,9447.58,7.3
2024-01-02 05,643,20889.14,7.72
2024-01-02 06,1454,36107.64,5.41
2024-01-02 07,2891,66412.24,4.63
2024-01-02 08,3541,70832.27,4.39
2024-01-02 09,3932,76685.18,3.67
2024-01-02 10,4178,81411.11,3.65
